GPS_TOW,time,高度,攻角,法向加速度,空速,滚转角,俯仰角
0.0,0.0199999995529651,0.0,0.0328830704092979,0.0,-6.233610153198242,0.0,0.0
0.0,0.6000000238418579,0.0,0.0324746631085872,0.0,-6.233610153198242,0.0,0.0
0.0,1.1799999475479126,0.0,0.0414437390863895,0.0,-6.233610153198242,0.0,0.0
0.0,1.7599999904632568,0.0,0.0381136573851108,0.0,-6.3966217041015625,0.0,0.0
0.0,2.3399999141693115,0.0,0.0286781843751668,0.0,-6.305446147918701,0.0,0.0
0.0,2.9200000762939453,0.0,0.0327888205647468,0.0,-6.233610153198242,0.0,0.0
0.0,3.5,0.0,0.0381450727581977,0.0,-6.233610153198242,0.0,0.0
0.0,4.079999923706055,0.0,0.0605767481029033,0.0,-1.3891931772232056,0.0,0.0
0.0,4.659999847412109,0.0,0.0754624009132385,0.0,-1.720216989517212,0.0,0.0
0.0,5.239999771118164,0.0,0.0757137313485145,0.0,-0.3586889207363128,0.0,0.0
0.0,5.820000171661377,0.0,0.0702036395668983,0.0,-0.0,0.0,0.0
0.0,6.400000095367432,0.0,0.0757294371724128,0.0,-1.014524221420288,0.0,0.0
0.0,6.980000019073486,0.0,0.0664039403200149,0.0,-1.014524221420288,0.0,0.0
0.0,7.559999942779541,0.0,0.0753524452447891,0.0,-1.0760680437088013,0.0,0.0
0.0,8.140000343322754,0.0,0.0756351947784423,0.0,-1.014524221420288,0.0,0.0
0.0,8.720000267028809,0.0,0.0663253962993621,0.0,-1.434752345085144,0.0,0.0
0.0,9.300000190734863,0.0,0.0758551061153411,0.0,-1.3420934677124023,0.0,0.0
0.0,9.880000114440918,0.0,0.0757294371724128,0.0,-1.6823948621749878,0.0,0.0
0.0,10.460000038146973,0.0,0.0757294371724128,0.0,-0.9490025043487548,0.0,0.0
0.0,11.039999961853027,0.0,0.0665138959884643,0.0,-0.9490025043487548,0.0,0.0
0.0,11.619999885559082,0.0,0.0666709765791893,0.0,-1.3420934677124023,0.0,0.0
0.0,12.199999809265137,0.0,0.0755880698561668,0.0,-0.9490006566047668,0.0,0.0
0.0,12.779999732971191,0.0,0.0754781141877174,0.0,-1.0760680437088013,0.0,0.0
0.0,13.359999656677246,0.0,0.0803452730178833,0.0,-0.0,0.0,0.0
0.0,13.9399995803833,0.0,0.0664824768900871,0.0,-1.3420934677124023,0.0,0.0
0.0,14.520000457763672,0.0,0.0576848834753036,0.0,-1.3420934677124023,0.0,0.0
0.0,15.100000381469728,0.0,0.0669851303100586,0.0,-0.0,0.0,0.0
0.0,15.68000030517578,0.0,0.0696538612246513,0.0,-1.4347586631774902,0.0,0.0
0.0,16.260000228881836,0.0,0.0566324479877948,0.0,-0.9490025043487548,0.0,0.0
0.0,16.84000015258789,0.0,0.0707691237330436,0.0,-0.0,0.0,0.0
0.0,17.420000076293945,0.0,0.0687899217009544,0.0,-0.0,0.0,0.0
0.0,18.0,0.0,0.0681161060929298,0.0,-0.9490025043487548,0.0,0.0
0.0,18.57999992370605,0.0,0.0588488727807998,0.0,-1.4347586631774902,0.0,0.0
225915.21875,19.15999984741211,254.71034240722656,0.0745199248194694,0.0,-0.9490025043487548,0.0,0.0
225915.21875,19.739999771118164,254.71034240722656,0.0652101337909698,0.0,-0.9490025043487548,0.0,0.0
225916.21875,20.31999969482422,255.48043823242188,0.0599484294652938,0.0,-1.014524221420288,0.0,0.0
225916.21875,20.899999618530277,255.48043823242188,0.0648645609617233,0.0,-1.014524221420288,0.0,0.0
225917.21875,21.479999542236328,255.9037933349609,0.0777534544467926,0.0,-1.0760680437088013,0.0,0.0
225918.0,22.059999465942383,256.180419921875,0.0665453076362609,3.695865189001779e-06,-1.3420934677124023,-0.0051248958334326,0.1403881758451461
225918.0,22.63999938964844,256.180419921875,0.0659484043717384,3.695865189001779e-06,-1.3420934677124023,-0.0194567386060953,0.1451753079891204
225919.0,23.21999931335449,256.39111328125,0.0607338286936283,-0.0222662109881639,-1.014524221420288,0.0062188184820115,0.1539475470781326
225920.0,23.799999237060547,256.5312805175781,0.0606709979474544,-0.0335460677742958,-0.3586889207363128,0.0064538829028606,0.1453153789043426
225920.0,24.3799991607666,256.5312805175781,0.0580932907760143,-0.0335460677742958,-0.9490025043487548,-0.0061182542704045,0.1476770490407943
225921.0,24.959999084472656,256.62872314453125,0.0695439055562019,-0.0395479761064052,-0.9490025043487548,-0.0034912582486867,0.1561913639307022
225921.0,25.540000915527344,256.62872314453125,0.0617548450827598,-0.0395479761064052,-0.0,-0.0151720587164163,0.1565815657377243
225922.0,26.1200008392334,256.6831970214844,0.0656813755631446,-0.0436926074326038,-1.3420934677124023,-0.0166166108101606,0.1499711275100708
225922.0,26.700000762939453,256.6831970214844,0.0782270058989524,-0.0436926074326038,-0.9490025043487548,-0.0288446713238954,0.1527717262506485
225923.0,27.280000686645508,256.7005310058594,0.0766876265406608,-0.0502572357654571,-1.720216989517212,-0.0339827686548233,0.1557108908891677
225924.0,27.86000061035156,256.7371826171875,0.0668594688177108,-0.058884672820568,-1.014524221420288,-0.0235930625349283,0.1526619642972946
225924.0,28.440000534057617,256.7371826171875,0.0702664703130722,-0.058884672820568,-1.3420934677124023,-0.0334820486605167,0.1547713428735733
225925.0,29.020000457763672,256.76763916015625,0.0661997348070144,-0.0643592029809951,-0.9490025043487548,-0.0267655625939369,0.1537939608097076
225925.0,29.600000381469727,256.76763916015625,0.0832022428512573,-0.0643592029809951,-1.4347586631774902,-0.0358947589993476,0.1559646725654602
225926.0,30.18000030517578,256.7577514648437,0.0611422359943389,-0.0691494941711425,-1.3420934677124023,-0.0247408729046583,0.1548075228929519
225926.0,30.76000022888184,256.7577514648437,0.0701722204685211,-0.0691494941711425,-0.0,-0.0325238592922687,0.1566984504461288
225927.0,31.34000015258789,256.700439453125,0.071287490427494,-0.0734406188130378,-0.8786054849624634,-0.0219228081405162,0.1555821299552917
225928.0,31.920000076293945,256.60675048828125,0.0710675716400146,-0.0762484967708587,-1.014524221420288,-0.0135291069746017,0.1519132107496261
225928.0,32.5,256.60675048828125,0.0759650617837905,-0.0762484967708587,-1.720216989517212,-0.0190424900501966,0.1534235924482345
225929.0,33.08000183105469,256.53887939453125,0.0610322803258895,-0.078556403517723,-1.3420934677124023,-0.0129621736705303,0.1507550179958343
225929.0,33.65999984741211,256.53887939453125,0.060561042279005,-0.078556403517723,-0.0,-0.0177447777241468,0.1512527763843536
225930.0,34.2400016784668,256.5015869140625,0.0608909092843532,-0.0805299654603004,-1.434752345085144,-0.0074131246656179,0.1489523500204086
225931.0,34.81999969482422,256.45709228515625,0.0702193453907966,-0.0819517374038696,-0.0,-0.0021677478216588,0.1496741622686386
225931.0,35.400001525878906,256.45709228515625,0.0663411095738411,-0.0819517374038696,-1.4347586631774902,-0.0056848656386137,0.1504349559545517
225932.0,35.97999954223633,256.4149169921875,0.0610794052481651,-0.0822435468435287,-0.0,6.178819603519514e-05,0.1452881693840026
225932.0,36.560001373291016,256.4149169921875,0.0705806314945221,-0.0822435468435287,-1.3420934677124023,-0.0021078309509903,0.1461444497108459
225933.0,37.13999938964844,256.3754577636719,0.0596342720091342,-0.0824397876858711,-0.8786054849624634,0.0039987540803849,0.1487540304660797
225933.0,37.720001220703125,256.3754577636719,0.0596342720091342,-0.0824397876858711,-0.878603994846344,0.0018463344313204,0.1503730118274688
225934.0,38.29999923706055,256.4185791015625,0.0601997599005699,-0.0819756388664245,-1.014524221420288,0.005005104932934,0.1506901383399963
225935.0,38.880001068115234,256.5978698730469,0.0704235509037971,-0.0817324668169021,-1.3420934677124023,0.0076608061790466,0.1485810428857803
225935.0,39.459999084472656,256.5978698730469,0.0697323977947235,-0.0817324668169021,-0.9490025043487548,0.0063997614197432,0.1488704681396484
225936.0,40.040000915527344,256.6203308105469,0.0542569421231746,-0.0818127319216728,-1.434752345085144,0.008699401281774,0.1500209122896194
225936.0,40.619998931884766,256.6203308105469,0.0662154406309127,-0.0818127319216728,-1.389198899269104,0.0053535983897745,0.1525057405233383
225937.0,41.20000076293945,256.6217041015625,0.075116828083992,-0.0814719870686531,-1.0145264863967896,0.0076501918956637,0.151139810681343
225938.0,41.77999877929688,256.6235046386719,0.049484834074974,-0.078727900981903,-0.3586888313293457,-0.0015375177608802,0.1500440388917923
225938.0,42.36000061035156,256.6235046386719,0.0695910304784774,-0.078727900981903,-0.3586888313293457,0.0061533036641776,0.1441809982061386
225939.0,42.93999862670898,256.6263427734375,0.0706434622406959,-0.0798463895916938,-1.014524221420288,0.0124408649280667,0.1431686133146286
225939.0,43.52000045776367,256.6263427734375,0.0761378481984138,-0.0798463895916938,-1.6824051141738892,0.0101261101663112,0.1398748159408569
225940.0,44.09999847412109,256.6264343261719,0.0565083883702755,-0.0798322930932045,-1.014524221420288,0.0129767907783389,0.1397463828325271
225940.0,44.68000030517578,256.6264343261719,0.0754658058285713,-0.0798322930932045,-0.8786054849624634,0.0164860263466835,0.1432069838047027
225941.0,45.2599983215332,256.6392822265625,0.0621004216372966,-0.0798325911164283,-1.2425367832183838,0.0183770805597305,0.1441453248262405
225942.0,45.84000015258789,256.644287109375,0.058911707252264,-0.0794161856174469,-1.434752345085144,0.0191663838922977,0.1424213796854019
225942.0,46.41999816894531,256.644287109375,0.0653515085577964,-0.0794161856174469,-2.5865609645843506,0.017115818336606,0.1439456194639206
225943.0,47.0,256.633544921875,0.0592572800815105,-0.0794471055269241,-1.3420934677124023,0.0199131779372692,0.1446660459041595
225943.0,47.58000183105469,256.633544921875,0.0750068724155426,-0.0794471055269241,-0.3586888313293457,0.0194208994507789,0.1447665989398956
225944.0,48.15999984741211,256.60968017578125,0.0701722204685211,-0.0793488100171089,-1.014524221420288,0.0210384018719196,0.1429347842931747
225944.0,48.7400016784668,256.60968017578125,0.0670636743307113,-0.0793488100171089,-1.014524221420288,0.0217783898115158,0.1431920528411865
225945.0,49.31999969482422,256.5910949707031,0.0842232629656791,-0.0791487693786621,-1.0145264863967896,0.0226290691643953,0.1436577290296554
225946.0,49.900001525878906,256.5999755859375,0.0703764259815216,-0.07689069211483,-0.8786054849624634,0.024400720372796,0.1452510505914688
225946.0,50.47999954223633,256.5999755859375,0.0774416103959083,-0.07689069211483,-1.2932734489440918,0.0232456773519516,0.1458101272583007
225947.0,51.060001373291016,256.5889892578125,0.0581836439669132,-0.0772450268268585,-1.434752345085144,0.1291801184415817,0.2885990440845489
225947.0,51.63999938964844,256.5889892578125,0.0774309262633323,-0.0772450268268585,-1.0145264863967896,0.1895893216133117,0.3209997713565826
225948.0,52.220001220703125,256.7973022460937,0.1044394150376319,-0.0766284316778183,-0.8786054849624634,0.2441082000732422,0.2992318272590637
225949.0,52.79999923706055,257.6527709960937,0.0855154991149902,-0.0711174830794334,-0.3586888313293457,-0.0137071497738361,0.0685003027319908
225949.0,53.380001068115234,257.6527709960937,0.0372802391648292,-0.0711174830794334,-1.434752345085144,0.1517352610826492,0.0704137831926345
225950.0,53.959999084472656,258.34844970703125,0.0958984643220901,-0.0684343129396438,-1.014524221420288,0.1754318326711654,0.1297506988048553
225950.0,54.540000915527344,258.34844970703125,0.0839481055736541,-0.0684343129396438,-1.389198899269104,0.1512877941131591,0.0849242508411407
225951.0,55.119998931884766,258.56939697265625,0.0828187614679336,-0.0738780796527862,-1.6824051141738892,-0.0994952693581581,0.1390506327152252
225951.0,55.70000076293945,258.56939697265625,0.0646132305264473,-0.0738780796527862,-1.014524221420288,-0.0430718399584293,0.2102342993021011
225952.0,56.27999877929688,258.80841064453125,0.0924070253968238,-0.0765590816736221,-1.997086524963379,0.1133551821112632,0.374776691198349
225953.0,56.86000061035156,259.1644897460937,0.1014276668429374,-0.0445409677922725,-1.434752345085144,0.064235582947731,0.3298655152320862
225953.0,57.43999862670898,259.1644897460937,0.066089779138565,-0.0445409677922725,-1.389198899269104,0.1323421597480774,0.2066662311553955
225954.0,58.02000045776367,259.6414489746094,0.0886372029781341,-0.0106876334175467,-1.2932734489440918,0.0848847031593322,0.1765019297599792
225954.0,58.59999847412109,259.6414489746094,0.0449944511055946,-0.0106876334175467,-0.8786054849624634,0.1158695295453071,0.151754230260849
225955.0,59.18000030517578,260.1283264160156,0.0258311759680509,-0.0020455415360629,-1.6041098833084106,0.047686394304037,-0.0650075674057006
225955.0,59.7599983215332,260.1283264160156,0.0504037365317344,-0.0020455415360629,-0.9490025043487548,0.0255252346396446,-0.0610415711998939
225956.0,60.34000015258789,260.4963073730469,0.0898071750998497,-0.0093450481072068,-1.6824051141738892,0.0307008419185876,0.1965878307819366
225957.0,60.91999816894531,260.5470275878906,0.0652415454387664,-0.0200040880590677,-1.0760653018951416,-0.3505067825317383,0.2102317214012146
225957.0,61.5,260.5470275878906,0.0214948710054159,-0.0200040880590677,-0.3586888313293457,0.0732059702277183,0.1791797280311584
225958.0,62.08000183105469,260.7559814453125,0.0710523575544357,-0.015903377905488,-0.8020532727241516,0.216566264629364,0.0807993486523628
225958.0,62.65999984741211,260.7559814453125,0.0868231579661369,-0.015903377905488,-1.643723726272583,0.0553566068410873,0.0662181302905082
225959.0,63.2400016784668,260.7054443359375,0.0688386708498001,-0.0285415854305028,-2.0915074348449707,-0.0018119785236194,0.0031774966046214
225960.0,63.81999969482422,260.63970947265625,0.0939326584339141,-0.0262722931802272,-1.014524221420288,0.0215224865823984,0.1504638642072677
225960.0,64.4000015258789,260.63970947265625,0.058894395828247,-0.0262722931802272,-0.5072625279426575,0.0213599186390638,0.2080975174903869
225961.0,64.9800033569336,260.74755859375,0.056398432701826,-0.0251986030489206,-1.478908658027649,0.112402431666851,0.2712863087654114
225961.0,65.55999755859375,260.74755859375,0.0739756450057029,-0.0251986030489206,-0.9490025043487548,0.1888575702905655,0.1787720322608947
225962.0,66.13999938964844,260.8465881347656,0.0396373309195041,-0.0268396418541669,-1.014524221420288,0.0723217576742172,0.1891788095235824
225962.0,66.72000122070312,260.8465881347656,0.0620223246514797,-0.0268396418541669,-1.997086524963379,0.0036915154196321,0.2053038328886032
225963.0,67.30000305175781,260.77960205078125,0.0143748931586742,-0.024751977995038,-1.478908658027649,0.0144365523010492,0.2203118354082107
225964.0,67.87999725341797,260.7888488769531,0.0294105689972639,-0.0251865051686763,-1.014524221420288,-0.0340342074632644,0.1920402348041534
225964.0,68.45999908447266,260.7888488769531,0.038418561220169,-0.0251865051686763,-1.6824051141738892,-0.0339104086160659,0.1973327249288559
225965.0,69.04000091552734,260.854736328125,0.0722158849239349,-0.0235320311039686,-1.6041098833084106,0.0133618703112006,0.0679145827889442
225965.0,69.62000274658203,260.854736328125,0.0550616532564163,-0.0235320311039686,-0.8786054849624634,0.0213052202016115,0.1001029834151268
225966.0,70.19999694824219,260.8177795410156,0.0401390865445137,-0.0231578238308429,-0.8020532727241516,-0.0339519903063774,0.1109839528799057
225967.0,70.77999877929688,260.7698974609375,0.0727499574422836,-0.0239457730203866,-1.6041098833084106,-0.006395217962563,0.1151519194245338
225967.0,71.36000061035156,260.7698974609375,0.0781063735485076,-0.0239457730203866,-1.6824051141738892,-0.0162989757955074,0.1626220792531967
225968.0,71.94000244140625,260.7228698730469,0.06426602602005,-0.0228642784059047,-0.5072625279426575,-0.0213017035275697,0.2152422815561294
225968.0,72.5199966430664,260.7228698730469,0.0972440689802169,-0.0228642784059047,-1.0760653018951416,-0.051570788025856,0.1669979095458984
225969.0,73.0999984741211,260.6343994140625,0.0493377484381198,-0.0225800666958093,-3.383822202682495,-0.0795580372214317,0.1342812329530716
225969.0,73.68000030517578,260.6343994140625,0.0037842295132577,-0.0225800666958093,-4.551149845123291,-0.0180308874696493,0.2497980594635009
225970.0,74.26000213623047,259.93804931640625,0.1865965873003006,-0.1335757821798324,6.757882595062256,0.1137140393257141,0.3333253562450409
225971.0,74.83999633789062,260.5860900878906,0.3579335212707519,-0.1530048102140426,8.487466812133789,-0.1748596578836441,0.6010178923606873
225971.0,75.41999816894531,260.5860900878906,0.3571359515190124,-0.1530048102140426,9.276637077331545,-0.2865282893180847,0.6004155278205872
225972.0,76.0,261.9521179199219,0.2810439765453338,-0.1451826393604278,10.363602638244627,-0.3128503262996673,0.7021030783653259
225972.0,76.58000183105469,261.9521179199219,0.2277686297893524,-0.1451826393604278,10.52978515625,-0.2069594115018844,0.8370338082313538
225973.0,77.16000366210938,265.4715576171875,0.2192922681570053,-0.1393724381923675,10.363602638244627,-0.1052841320633888,0.8243487477302551
