GPS_TOW,time,高度,攻角,法向加速度,空速,滚转角,俯仰角
0.0,0.019999999552965164,0.0,0.03852206468582153,0.0,-6.3156418800354,0.0,0.0
0.0,0.03999999910593033,0.0,0.041223835200071335,0.0,-6.3966217041015625,0.0,0.0
0.0,0.05999999865889549,0.0,0.04554997757077217,0.0,-6.5260725021362305,0.0,0.0
0.0,0.07999999821186066,0.0,0.05254209041595459,0.0,-6.406672477722168,0.0,0.0
0.0,0.10000000149011612,0.0,0.030170440673828125,0.0,-6.594724655151367,0.0,0.0
0.0,0.11999999731779099,0.0,0.05251067504286766,0.0,-6.243922710418701,0.0,0.0
0.0,0.14000000059604645,0.0,0.03951166570186615,0.0,-6.087396144866943,0.0,0.0
0.0,0.1599999964237213,0.0,0.05837603285908699,0.0,-6.3258209228515625,0.0,0.0
0.0,0.18000000715255737,0.0,0.04901612922549248,0.0,-6.243922710418701,0.0,0.0
0.0,0.20000000298023224,0.0,0.06208471581339836,0.0,-6.48651647567749,0.0,0.0
0.0,0.2199999988079071,0.0,0.0582817867398262,0.0,-6.087396144866943,0.0,0.0
0.0,0.23999999463558197,0.0,0.061959050595760345,0.0,-6.5555830001831055,0.0,0.0
0.0,0.25999999046325684,0.0,0.0581718310713768,0.0,-6.3156418800354,0.0,0.0
0.0,0.2800000011920929,0.0,0.04903183877468109,0.0,-6.456690788269043,0.0,0.0
0.0,0.30000001192092896,0.0,0.05861165374517441,0.0,-6.5260725021362305,0.0,0.0
0.0,0.3199999928474426,0.0,0.04548714682459831,0.0,-6.456690788269043,0.0,0.0
0.0,0.3400000035762787,0.0,0.05837603285908699,0.0,-6.3156418800354,0.0,0.0
0.0,0.36000001430511475,0.0,0.05832890793681145,0.0,-6.171370983123779,0.0,0.0
0.0,0.3799999952316284,0.0,0.049251750111579895,0.0,-6.3865556716918945,0.0,0.0
0.0,0.4000000059604645,0.0,0.05285624787211418,0.0,-6.3966217041015625,0.0,0.0
0.0,0.41999998688697815,0.0,0.048937588930130005,0.0,-6.243922710418701,0.0,0.0
0.0,0.4399999976158142,0.0,0.05843886360526085,0.0,-6.701186656951904,0.0,0.0
0.0,0.46000000834465027,0.0,0.036051880568265915,0.0,-6.456690788269043,0.0,0.0
0.0,0.47999998927116394,0.0,0.0530918687582016,0.0,-6.456690788269043,0.0,0.0
0.0,0.5,0.0,0.04915750026702881,0.0,-6.5260725021362305,0.0,0.0
0.0,0.5199999809265137,0.0,0.05815612152218819,0.0,-6.3156418800354,0.0,0.0
0.0,0.5400000214576721,0.0,0.04926745593547821,0.0,-6.5260725021362305,0.0,0.0
0.0,0.5600000023841858,0.0,0.039982907474040985,0.0,-6.3156418800354,0.0,0.0
0.0,0.5799999833106995,0.0,0.05869019404053688,0.0,-6.3865556716918945,0.0,0.0
0.0,0.6000000238418579,0.0,0.04529865086078644,0.0,-6.171370983123779,0.0,0.0
